,ra,dec,dist,pmra,pmdec,vlos
0,188.91139152020506,17.952008917560374,113.32399416357734,-0.3008349116786248,-0.3875086531357832,141.83508323409646
1,202.5806848594903,25.628185967102542,57.76342787833495,-0.8100273327778588,-0.7310724666129959,191.27448820027115
2,206.60192837254752,25.961164635503557,49.50720729251671,-1.0304024384451242,-0.837199632383003,192.53990427955642
3,197.57462330382376,22.37968075626249,79.85503981365652,-0.5079511166569448,-0.5380816644365248,178.17346216775022
4,199.65805652298678,27.69073574430814,60.446891141022206,-0.7418698238868913,-0.6944772989500606,186.54130306420615
5,192.5685452425418,20.17075709629499,92.54203528853459,-0.40613050619931373,-0.47527370587866424,173.76008187797098
6,208.0020185216973,24.97765879420144,49.94888693703252,-1.0300257209657322,-0.8413546965060198,192.47461203701215
7,198.4253152199457,23.207509648783567,71.36617348227885,-0.5928907774684155,-0.6063660722204439,186.4055440359963
8,206.54867675458087,26.09415261562561,48.99506278338967,-1.044669007978416,-0.8433958050878699,192.46644387085377
9,198.8415966135374,24.959154027249433,65.81923040982971,-0.6660390274011351,-0.6633999240764068,189.10881293133858
10,197.41487446546301,20.937033607521357,79.30990929684977,-0.5100874114073985,-0.5423339849621555,181.60766644370565
11,205.4692427697439,26.410743535598936,49.91625151860531,-1.0096888105792798,-0.8260300416016211,192.67455089848133
12,195.24412323463392,19.78176985041217,85.23734453607692,-0.45655808633595624,-0.5087193737157716,177.81284290026707
13,192.72626071263784,19.894237204360458,101.84919487475938,-0.35833193800877056,-0.42636810951350473,155.83246694751648
14,198.59591820477104,23.141607179563405,71.51097967927689,-0.5917312668793707,-0.603872922933162,186.16380972701128
15,198.22283470469395,24.12469821476125,68.62828861164654,-0.6258947202707987,-0.63583103860546,188.03456432189648
16,199.28574003160506,26.694557026906804,60.05649789168409,-0.7626391969546489,-0.7358779297221306,190.91799472048882
17,207.8825401797553,25.327082836739812,49.45112318757718,-1.0427497232950909,-0.8457659123340506,192.2262287430231
18,208.22153363969403,25.86683144580454,47.795551821992426,-1.0946098131535482,-0.8677829920100177,191.1635634827149
19,193.2232784304107,20.869580389855976,93.058237496989,-0.40355118962762593,-0.47100688107796806,168.95213015947965
20,203.33674939698327,24.086481967307094,58.68617635323501,-0.8005733583323694,-0.7282436916749216,192.8913068198157
21,197.01359592735918,23.753313512481274,73.27724343345344,-0.5684441960447134,-0.5983977737106044,185.5425227329667
22,197.58838407505684,23.722333651106133,72.91668387957128,-0.5740162756270832,-0.597702352102091,185.0546098592028
23,205.54001419904807,25.865486303108273,51.628493413224284,-0.9650999056758869,-0.8069357741675974,192.81049502457455
24,209.87625583850917,26.067792092597568,44.859122393937184,-1.1883663410391323,-0.9008122560729912,185.36841513195645
25,204.9367803073668,23.631911330786526,56.343007986958085,-0.8576824674211927,-0.7594020707217686,194.25766647145355
26,192.65149241692586,20.37261154434218,92.5796831148833,-0.40558151740202014,-0.4750546985160524,172.98722557499372
27,196.50694426850166,22.22432645147723,82.4050355624245,-0.4842304334155977,-0.5248438402167394,176.6278491807797
